"Aberswyth",,"AB067","-4,1000","52,4000",,"N",,,,,,"GB","UK","GBR","826"
"Accra",,"AG005","-0,2000","5,6000",,"N",,,,,,"GH","GH","GHA","288"
"Adak",,"AD651","-176,6000","51,9000",,"N",,"USA","US",,,"US","US","USA","840"
"Agua Verde",,"AVJ2N","-70,0000","-25,4000",,"N",,,,,,"CL","CI","CHL","152"
"Ahmedabad",,"AH223","72,6000","23,0000",,"N",,"INDIA",,,,"IN","IN","IND","356"
"Ajana",,"AJ42Q","114,7000","-27,9000",,"N",,,,,,"AU","AS","AUS","036"
"Akita",,"AK539","140,1000","39,7000",,"N",,"JAPAN",,,,"JP","JA","JPN","392"
"Alert",,"ALJ82","-62,6000","82,6000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Alexander Bay",,"AB12Q","16,5000","-28,6000",,"N",,,,,,"ZA","SF","ZAF","710"
"Alice Springs",,"AL52M","143,8000","-24,0000",,"N",,"AUSTRALIA",,,,"AU","AS","AUS","036"
"Alma Ata",,"AA343","76,9000","43,2000",,"N",,"USSR",,,,"KZ","KZ","KAZ","398"
"Amderma",,"AM269","61,4000","69,5000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Anchorage",,"AN761","-149,9000","61,2000",,"N",,"USA",,,,"US","US","USA","840"
"Anyang",,"AN438","126,9000","37,4000",,"N",,"KOREA",,,,"KR","KS","KOR","410"
"Arctica (np-06)",,"XG082","9,5000","82,3000",,"N",,"USSR",,,,,,,
"Arctica (np-07)",,"XHJ86","-63,4000","86,3000",,"N",,"USSR",,,,,,,
"Arctica (np-08)",,"XI","165,0000","80,0000",,"N",,"USSR",,,,,,,
"Arctica (np-10)",,"XJ","165,0000","78,0000",,"N",,"USSR",,,,,,,
"Arctica (np-11)",,"XK","165,0000","79,0000",,"N",,"USSR",,,,,,,
"Arctica (np-13)",,"XL","165,0000","81,0000",,"N",,"USSR",,,,,,,
"Arctica (np-16)",,"XM676","176,5000","78,1000",,"N",,"USSR",,,,,,,
"Arctica (np-19)",,"XP","150,0000","78,0000",,"N",,"USSR",,,,,,,
"Arecibo",,"ARJ19","-66,8000","18,5000",,"N",,"USA","Puerto Rico","NAIC",,"PR","RQ","PRI","630"
"Argentia",,"AFJ49","-54,0000","47,3000",,"N",,"USA",,,,"CA","CA","CAN","124"
"Argentine Is",,"AIJ6N","-64,3000","-65,2000",,"N",,"UK",,"FARADAY",,"AQ","AY","ATA","010"
"Arkhangelsk",,"AZ163","40,5000","64,6000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Ascension",21,"AS00Q","-14,4000","-7,9500",,"Y",,,,,,,,,
"Ashkhabad",,"AS237","58,3000","37,9000",,"N",,"USSR",,"VANNOVSKAYA",,"TM","TX","TKM","795"
"Athens",,"AT138","23,6000","38,0000",,"Y",,"GREECE",,"SCARAMANGA",,"GR","GR","GRC","300"
"Auckland",,"AU63P","175,0000","-37,0000",,"N",,"NEW ZEALAND",,,,"NZ","NZ","NZL","554"
"Austin",,"AW933","-97,8000","30,3000",,"N",,"USA",,,,"US","US","USA","840"
"Baddow",,"01016","0,5000","51,7000",,"N",,,,"GREAT BADDOW",,"GB","UK","GBR","826"
"Bagneux",,"55039","2,3000","48,8000",,"N",,,,"PARIS",,"FR","FR","FRA","250"
"Baguio",,"BF416","120,6000","16,4000",,"N",,"LUZON","Phillippines",,,"PH","RP","PHL","608"
"Baie St Paul",,"PLJ48","-70,5000","47,4000",,"N",,,,"QUEBEC",,"CA","CA","CAN","124"
"Baker Lake",,"BL964","-96,0000","64,3000",,"N",,"CANADA",,,,"CA","CA","CAN","124"
"Bandoeng",,"0240Q","107,6000","-6,9000",,"N",,,,,,"ID","ID","IDN","360"
"Bangkok",,"BK314","100,6000","13,8000",,"N",,"THAILAND",,,,"TH","TH","THA","764"
"Bangui",,"BI104","18,6000","4,6000",,"N",,"C. AFR. REPUBLIC",,,,"CF","CT","CAF","140"
